PadID	CoboID	AsadID	AgetID	ChannelID	y[0]	z[0]	y[1]	z[1]	y[2]	z[2]	y[3]	z[3]/cm
0	1	0	0	30	-14.646	0	-13.946	0	-14.296	0.606	-14.646	0
1	1	0	0	42	-14.284	0.606	-13.584	0.606	-13.934	0	-14.284	0.606
2	1	0	0	28	-13.923	0	-13.223	0	-13.573	0.606	-13.923	0
3	1	0	0	40	-13.561	0.606	-12.861	0.606	-13.211	0	-13.561	0.606
4	1	0	0	21	-13.2	0	-12.5	0	-12.85	0.606	-13.2	0
5	1	0	0	38	-12.838	0.606	-12.138	0.606	-12.488	0	-12.838	0.606
6	1	0	0	19	-12.477	0	-11.777	0	-12.127	0.606	-12.477	0
7	1	0	0	36	-12.115	0.606	-11.415	0.606	-11.765	0	-12.115	0.606
8	1	0	0	13	-11.754	0	-11.054	0	-11.404	0.606	-11.754	0
9	1	0	0	34	-11.392	0.606	-10.692	0.606	-11.042	0	-11.392	0.606
10	1	0	0	17	-11.031	0	-10.331	0	-10.681	0.606	-11.031	0
11	1	0	0	24	-10.669	0.606	-9.969	0.606	-10.319	0	-10.669	0.606
12	1	0	0	10	-10.307	0	-9.607	0	-9.957	0.606	-10.307	0
13	1	0	0	8	-9.946	0.606	-9.246	0.606	-9.596	0	-9.946	0.606
14	1	0	0	4	-9.584	0	-8.884	0	-9.234	0.606	-9.584	0
15	1	0	0	2	-9.223	0.606	-8.523	0.606	-8.873	0	-9.223	0.606
16	1	0	1	64	-8.861	0	-8.161	0	-8.511	0.606	-8.861	0
17	1	0	1	62	-8.5	0.606	-7.8	0.606	-8.15	0	-8.5	0.606
18	1	0	1	58	-8.138	0	-7.438	0	-7.788	0.606	-8.138	0
19	1	0	1	53	-7.777	0.606	-7.077	0.606	-7.427	0	-7.777	0.606
20	1	0	1	51	-7.415	0	-6.715	0	-7.065	0.606	-7.415	0
21	1	0	1	36	-7.054	0.606	-6.354	0.606	-6.704	0	-7.054	0.606
22	1	0	1	55	-6.692	0	-5.992	0	-6.342	0.606	-6.692	0
23	1	0	1	34	-6.33	0.606	-5.63	0.606	-5.98	0	-6.33	0.606
24	1	0	1	47	-5.969	0	-5.269	0	-5.619	0.606	-5.969	0
25	1	0	1	32	-5.607	0.606	-4.907	0.606	-5.257	0	-5.607	0.606
26	1	0	1	44	-5.246	0	-4.546	0	-4.896	0.606	-5.246	0
27	1	0	1	28	-4.884	0.606	-4.184	0.606	-4.534	0	-4.884	0.606
28	1	0	1	40	-4.523	0	-3.823	0	-4.173	0.606	-4.523	0
29	1	0	1	26	-4.161	0.606	-3.461	0.606	-3.811	0	-4.161	0.606
30	1	0	1	38	-3.8	0	-3.1	0	-3.45	0.606	-3.8	0
31	1	0	1	21	-3.438	0.606	-2.738	0.606	-3.088	0	-3.438	0.606
32	1	3	1	32	-3.077	0	-2.377	0	-2.727	0.606	-3.077	0
33	1	3	1	17	-2.715	0.606	-2.015	0.606	-2.365	0	-2.715	0.606
34	1	3	1	8	-2.353	0	-1.653	0	-2.003	0.606	-2.353	0
35	1	3	1	6	-1.992	0.606	-1.292	0.606	-1.642	0	-1.992	0.606
36	3	3	1	4	-1.63	0	-0.93	0	-1.28	0.606	-1.63	0
37	3	3	1	17	-1.269	0.606	-0.569	0.606	-0.919	0	-1.269	0.606
38	3	3	1	19	-0.907	0	-0.207	0	-0.557	0.606	-0.907	0
39	3	3	1	32	-0.546	0.606	0.154	0.606	-0.196	0	-0.546	0.606
40	3	3	1	33	-0.184	0	0.516	0	0.166	0.606	-0.184	0
